THROUGHPUT_PLOT
App1_SENSOR_APP_Throughput
944109.702420,50.000000,
1029927.702420,50.000000,
2028327.702420,50.000000,
3029287.702420,50.000000,
4029927.702420,50.000000,
5028647.702420,50.000000,
6028967.702420,50.000000,
7028647.702420,50.000000,
8028967.702420,50.000000,
9029287.702420,50.000000,
10029287.702420,50.000000,
11028647.702420,50.000000,
12030247.702420,50.000000,
13028327.702420,50.000000,
14028647.702420,50.000000,
15028327.702420,50.000000,
16028967.702420,50.000000,
17028967.702420,50.000000,
18028647.702420,50.000000,
19028327.702420,50.000000,
20030567.702420,50.000000,
21030247.702420,50.000000,
22028327.702420,50.000000,
23029287.702420,50.000000,
24029287.702420,50.000000,
25028327.702420,50.000000,
26029927.702420,50.000000,
27029927.702420,50.000000,
28030247.702420,50.000000,
29029287.702420,50.000000,
30029607.702420,50.000000,
31029287.702420,50.000000,
32030567.702420,50.000000,
33029287.702420,50.000000,
34029927.702420,50.000000,
35029927.702420,50.000000,
36030247.702420,50.000000,
37030247.702420,50.000000,
38029287.702420,50.000000,
39029607.702420,50.000000,
40030567.702420,50.000000,
41030247.702420,50.000000,
42028327.702420,50.000000,
43029927.702420,50.000000,
44028647.702420,50.000000,
45028647.702420,50.000000,
46029607.702420,50.000000,
47028327.702420,50.000000,
48028327.702420,50.000000,
49028967.702420,50.000000,
50028327.702420,50.000000,
51030567.702420,50.000000,
52029927.702420,50.000000,
53028327.702420,50.000000,
54030247.702420,50.000000,
55030247.702420,50.000000,
56030567.702420,50.000000,
57030567.702420,50.000000,
58029927.702420,50.000000,
59028967.702420,50.000000,
60028327.702420,50.000000,
61028967.702420,50.000000,
62028967.702420,50.000000,
63030247.702420,50.000000,
64028967.702420,50.000000,
65029607.702420,50.000000,
66029927.702420,50.000000,
67030247.702420,50.000000,
68029287.702420,50.000000,
69030567.702420,50.000000,
70028967.702420,50.000000,
71029287.702420,50.000000,
72028967.702420,50.000000,
73029607.702420,50.000000,
74029927.702420,50.000000,
75030247.702420,50.000000,
76029607.702420,50.000000,
77028647.702420,50.000000,
78030247.702420,50.000000,
79029927.702420,50.000000,
80029287.702420,50.000000,
81028967.702420,50.000000,
82028647.702420,50.000000,
83028327.702420,50.000000,
84030247.702420,50.000000,
85028967.702420,50.000000,
86028327.702420,50.000000,
87029927.702420,50.000000,
88029607.702420,50.000000,
89028967.702420,50.000000,
90028647.702420,50.000000,
91030247.702420,50.000000,
92028967.702420,50.000000,
93029607.702420,50.000000,
94030567.702420,50.000000,
95030567.702420,50.000000,
96029927.702420,50.000000,
97029607.702420,50.000000,
98030247.702420,50.000000,
99028967.702420,50.000000,
